iter	Passed	Remaining
0	0	540
1	1	551
2	1	544
3	2	565
4	2	571
5	3	565
6	3	528
7	4	533
8	4	507
9	5	512
10	5	518
11	6	512
12	6	522
13	7	531
14	8	531
15	8	536
16	9	537
17	9	535
18	10	538
19	11	539
20	11	540
2121	13	602222	14	602323	14	592424	15	582525	15	582626	16	582727	16	582828	17	582929	18	583030	18	583131	19	573232	19	573333	20	573434	20	563535	21	563636	21	563737	22	563838	22	563939	23	5640	22	525
41	23	525
42	23	525
43	24	524
44	24	523
45	25	523
46	25	522
47	26	521
48	26	520
49	27	519
50	27	520
51	28	519
52	29	518
53	29	519
54	30	518
55	30	518
56	31	517
57	31	514
58	32	515
5959	33	5260	33	513
61	33	513
62	34	513
63	35	512
64	35	512
6565	37	526666	37	526767	38	526868	39	536969	39	537070	40	537171	41	527272	41	527373	42	527474	42	527575	43	527676	43	525
77	44	525
78	45	525
79	45	528080	46	528181	46	524
82	47	528383	48	528484	48	528585	49	528686	49	524
87	50	523
88	51	522
89	51	529090	52	521
91	52	529292	53	529393	54	529494	54	521
95	55	521
96	56	521
97	56	520
98	57	521
99	57	521
100	59	526
101	59	5210102	60	525
103	60	524
104	61	5210105	61	5210106	62	5210107	63	5210108	63	5110109	64	5111110	64	5111111	65	5111112	65	5111113	66	5111114	66	5111115	67	5111116	68	5111117	68	5111118	69	5111119	69	5112120	70	5112121	70	5112122	71	5012123	72	5012124	72	5012125	73	5012126	73	5012127	74	5012128	75	5012129	75	5013130	76	5013131	76	5013132	77	5013133	77	5013134	78	5013135	79	5013136	79	5013137	80	5013138	80	4913139	81	4914140	81	4914141	82	4914142	82	4914143	83	4914144	83	4914145	84	4914146	84	4914147	85	4914148	86	49149	85	483
150	85	482
151	86	481
152	86	480
153	87	480
154	88	479
155	88	479
156	89	478
157	89	477
158	90	477
159	90	476
160	91	475
161	91	474
16162	93	4816163	94	4716164	94	4716165	95	4716166	95	4716167	96	4716168	96	4716169	97	4717170	97	4717171	98	4717172	98	4717173	99	4717174	99	4617175	99	4617176	100	4177177	100	178	178	101179	100	456
180	100	455
181	101	454
182	101	454
183	102	453
184	102	451
185	103	450
186	103	450
187	104	449
188	104	448
189	105	448
190	105	447
191	106	446
192	106	445
193	107	445
194	107	445
195	108	445
196	109	444
197	109	444
198	110	443
199	110	442
200	111	441
201	1201	113202	1202	113203	112	439
204	1204	114205	1205	115206	1206	115207	1207	116208	1208	117209	1209	117210	1210	118211	1211	118212	1212	119213	1213	119214	1214	120215	1215	120216	1216	120217	1217	121218	1218	121219	1219	122220	1220	122221	1221	123222	1222	123223	1223	123224	1224	124225	1225	125226	1226	125227	1227	126228	1228	127229	1229	127230	1230	128231	1231	128232	1232	129233	1233	129234	1234	130235	129	418
236	129	418
237	130	417
238	130	417
239	131	416
240	131	415
241	132	414
242	1242	134243	133	414
244	134	413
245	134	412
246	135	412
247	135	411
248	136	410
249	1249	137250	137	409
251	137	409
252	138	408
253	1253	139254	1254	140255	1255	140256	1256	141257	1257	141258	1258	142259	1259	142260	1260	143261	1261	143262	1262	144263	1263	144264	143	399
265	144	398
266	1266	145267	145	396
268	145	396
269	146	395
270	1270	147271	1271	148272	147	393
273	1273	149274	1274	149275	1275	150276	1276	150277	1277	151278	1278	151279	1279	152280	1280	152281	1281	153282	1282	153283	1283	154284	1284	154285	1285	155286	1286	155287	1287	156288	1288	156289	1289	157290	1290	157291	1291	157292	1292	158293	1293	159294	1294	159295	1295	159296	1296	160297	1297	160298	1298	161299	1299	161300	1300	162301	1301	162302	1302	163303	1303	163304	1304	164305	1305	164306	1306	165307	1307	165308	1308	166309	1309	166310	1310	167311	1311	167312	1312	168313	1313	168314	1314	169315	1315	169316	1316	169317	1317	170318	1318	170319	1319	171320	1320	171321	1321	172322	1322	172323	1323	173324	1324	173325	1325	174326	1326	174327	1327	175328	1328	175329	1329	176330	1330	176331	1331	177332	1332	177	355
333	178	355
334	178335	1335	179	353
336	179	353
337	180	352
338	180	352
339	181	351
340	181	350
341	182	350
342	182	349
343	182	348
344	183345	1345	183346	1346	184	347
347	184	346
348	185349	1349	185	345
350	186	344
351	186	344
352	187	343
353	187	342
354	188	341
355	188356	1356	189	340
357	189	340
358	190	339
359	190	338
360	191	338
361	191	337
362	192	337
363	192364	1364	192	335
365	193	335
366	193	334
